"Sid","Sleep Quality","Time in Bed","Wake up","Sleep Notes","Heart Rate","Worked Out","Stressed","Late Meal","Caffeinated","Minutes in Bed"
"225",75,"6:51","Good","Drank coffee:Drank tea",57,"FALSE","FALSE","FALSE","HIGH",411
"226",70,"6:09","Good","Ate late:Drank coffee:Drank tea",64,"FALSE","FALSE","TRUE","HIGH",369
"227",86,"7:20","Good","Drank coffee:Drank tea",68,"FALSE","FALSE","FALSE","HIGH",440
"228",86,"7:40","Good","Drank tea:Stressful day:Worked out",61,"TRUE","TRUE","FALSE","LOW",460
"229",79,"7:28","Good","Drank coffee:Drank tea:Stressful day:Worked out",58,"TRUE","TRUE","FALSE","HIGH",448
"230",93,"8:13","Good","Drank tea:Stressful day:Worked out",67,"TRUE","TRUE","FALSE","LOW",493
"231",77,"8:14","Good","Drank coffee",62,"FALSE","FALSE","FALSE","LOW",494
"232",80,"8:02","Good","Drank coffee",52,"FALSE","FALSE","FALSE","LOW",482
"233",75,"7:37","Good","Drank coffee:Drank tea:Worked out",61,"TRUE","FALSE","FALSE","HIGH",457
"234",84,"7:20","Good","Drank coffee:Drank tea:Stressful day",63,"FALSE","TRUE","FALSE","HIGH",440
"235",100,"8:37","Good","Drank coffee:Drank tea:Worked out",58,"TRUE","FALSE","FALSE","HIGH",517
"236",72,"8:00","Ok","Drank coffee:Drank tea:Worked out",56,"TRUE","FALSE","FALSE","HIGH",480
"237",80,"7:23","Ok","Drank coffee:Worked out",64,"TRUE","FALSE","FALSE","LOW",443
"238",82,"8:01","Good","Drank coffee:Drank tea:Worked out",58,"TRUE","FALSE","FALSE","HIGH",481
"239",79,"7:27","Good","Drank coffee:Drank tea",62,"FALSE","FALSE","FALSE","HIGH",447
"240",76,"8:16","Ok","Drank coffee",63,"FALSE","FALSE","FALSE","LOW",496
"241",79,"8:33","Ok","Drank coffee:Drank tea",71,"FALSE","FALSE","FALSE","HIGH",513
"242",85,"8:24","Good","Drank coffee:Drank tea",65,"FALSE","FALSE","FALSE","HIGH",504
